 ,Label,Area,Mean,Min,Max,Perim.,Major,Minor,Angle
1475,,193.929,255,255,255,48.945,17.833,13.846,40.583
1476,,352.598,255,255,255,67.479,23.866,18.811,100.667
1477,,326.154,255,255,255,64.001,21.702,19.135,114.257
1478,,334.969,255,255,255,63.280,22.231,19.185,90.000
1479,,696.382,255,255,255,96.150,33.288,26.636,95.314
1480,,193.929,255,255,255,51.404,17.496,14.113,3.553
1481,,705.197,255,255,255,102.809,37.810,23.747,144.458
1482,,528.898,255,255,255,84.274,30.696,21.938,49.064
1483,,625.862,255,255,255,90.212,30.289,26.309,84.149
1484,,572.972,255,255,255,86.014,28.587,25.520,120.115
1485,,370.228,255,255,255,69.939,24.909,18.924,1.010
1486,,484.823,255,255,255,78.336,27.066,22.807,76.485
1487,,476.008,255,255,255,77.616,27.444,22.084,85.755
1488,,405.488,255,255,255,71.678,25.717,20.075,30.558
1489,,273.264,255,255,255,57.342,19.184,18.136,30.964
1490,,273.264,255,255,255,57.342,18.964,18.347,135.000
1491,,440.748,255,255,255,74.138,26.320,21.321,74.329
1492,,581.787,255,255,255,87.753,31.276,23.685,15.711
1493,,414.303,255,255,255,73.417,25.014,21.088,73.095
1494,,264.449,255,255,255,57.342,21.838,15.418,15.290
1495,,220.374,255,255,255,51.404,19.190,14.621,65.028
1496,,414.303,255,255,255,72.398,24.766,21.300,57.109
1497,,326.154,255,255,255,65.740,21.775,19.071,62.679
1498,,193.929,255,255,255,47.206,16.491,14.973,134.999
1499,,431.933,255,255,255,74.138,24.512,22.436,86.905
1500,,264.449,255,255,255,55.603,19.385,17.369,135.000
1501,,229.189,255,255,255,53.864,17.757,16.434,59.872
1502,,290.894,255,255,255,59.802,21.192,17.478,175.302
1503,,405.488,255,255,255,69.939,24.402,21.157,72.738
1504,,520.083,255,255,255,84.274,29.625,22.353,87.833
1505,,564.158,255,255,255,87.753,29.741,24.152,21.922
1506,,405.488,255,255,255,71.678,24.369,21.186,104.480
1507,,440.748,255,255,255,75.877,25.607,21.915,112.806
1508,,502.453,255,255,255,80.076,25.677,24.915,7.728
1509,,458.378,255,255,255,76.597,25.840,22.586,91.168
1510,,520.083,255,255,255,80.076,26.872,24.643,7.275
1511,,361.413,255,255,255,65.740,21.548,21.356,90.000
1512,,343.783,255,255,255,64.001,21.908,19.980,134.998
1513,,193.929,255,255,255,47.206,16.491,14.973,45.000
1514,,238.004,255,255,255,55.603,19.818,15.291,97.610
1515,,669.937,255,255,255,93.691,34.048,25.052,8.888
1516,,440.748,255,255,255,75.877,25.147,22.316,121.654
1517,,308.524,255,255,255,61.541,21.615,18.174,81.528
1518,,211.559,255,255,255,49.665,18.143,14.847,109.605
1519,,590.602,255,255,255,90.212,29.397,25.580,165.752
1520,,555.343,255,255,255,84.274,28.151,25.118,62.104
1521,,476.008,255,255,255,78.336,25.044,24.200,78.760
1522,,423.118,255,255,255,73.119,25.228,21.354,159.201
1523,,493.638,255,255,255,80.076,26.990,23.287,82.275
1524,,290.894,255,255,255,59.802,20.184,18.350,94.632
